arodes_int_num	adress_forest	a_year	arodes_typ_cd
1704000909	17-04-1-01-79    -c   -00	2023	WYDZIEL  
1704000913	17-04-1-01-79    -g   -00	2023	WYDZIEL  
1704000915	17-04-1-01-79    -h   -00	2023	WYDZIEL  
1704000917	17-04-1-01-79    -i   -00	2023	WYDZIEL  
1704000919	17-04-1-01-79    -j   -00	2023	WYDZIEL  
1704000920	17-04-1-01-80    -    -  	2023	ODDZ     
1704000922	17-04-1-01-80    -a   -00	2023	WYDZIEL  
1704000924	17-04-1-01-80    -b   -00	2023	WYDZIEL  
1704000926	17-04-1-01-80    -c   -00	2023	WYDZIEL  
1704000928	17-04-1-01-80    -d   -00	2023	WYDZIEL  
1704000930	17-04-1-01-80    -g   -00	2023	WYDZIEL  
1704000932	17-04-1-01-80    -f   -00	2023	WYDZIEL  
1704000933	17-04-1-01-81    -    -  	2023	ODDZ     
1704000935	17-04-1-01-81    -a   -00	2023	WYDZIEL  
1704000937	17-04-1-01-81    -b   -00	2023	WYDZIEL  
1704000939	17-04-1-01-81    -c   -00	2023	WYDZIEL  
1704000941	17-04-1-01-81    -f   -00	2023	WYDZIEL  
1704000943	17-04-1-01-81    -d   -00	2023	WYDZIEL  
1704000945	17-04-1-01-81    -g   -00	2023	WYDZIEL  
1704000955	17-04-1-01-81    -j   -00	2023	WYDZIEL  
1704000960	17-04-1-01-82    -    -  	2023	ODDZ     
1704000962	17-04-1-01-82    -a   -00	2023	WYDZIEL  
1704000964	17-04-1-01-82    -b   -00	2023	WYDZIEL  
1704000966	17-04-1-01-82    -c   -00	2023	WYDZIEL  
1704000968	17-04-1-01-82    -k   -00	2023	WYDZIEL  
1704000970	17-04-1-01-82    -l   -00	2023	WYDZIEL  
1704000976	17-04-1-01-82    -n   -00	2023	WYDZIEL  
1704000977	17-04-1-02-      -    -  	2023	L-CTWO   
1704000978	17-04-1-02-1     -    -  	2023	ODDZ     
1704000980	17-04-1-02-1     -a   -00	2023	WYDZIEL  
1704000982	17-04-1-02-1     -b   -00	2023	WYDZIEL  
1704000984	17-04-1-02-1     -c   -00	2023	WYDZIEL  
1704000986	17-04-1-02-1     -d   -00	2023	WYDZIEL  
1704000988	17-04-1-02-1     -f   -00	2023	WYDZIEL  
1704000989	17-04-1-02-2     -    -  	2023	ODDZ     
1704000995	17-04-1-02-2     -c   -00	2023	WYDZIEL  
1704000997	17-04-1-02-2     -d   -00	2023	WYDZIEL  
1704000999	17-04-1-02-2     -f   -00	2023	WYDZIEL  
1704001001	17-04-1-02-2     -h   -00	2023	WYDZIEL  
1704001004	17-04-1-02-3     -    -  	2023	ODDZ     
1704001006	17-04-1-02-3     -a   -00	2023	WYDZIEL  
1704001008	17-04-1-02-3     -b   -00	2023	WYDZIEL  
1704001010	17-04-1-02-3     -c   -00	2023	WYDZIEL  
1704001012	17-04-1-02-3     -d   -00	2023	WYDZIEL  
1704001014	17-04-1-02-3     -f   -00	2023	WYDZIEL  
1704001016	17-04-1-02-3     -g   -00	2023	WYDZIEL  
1704001018	17-04-1-02-3     -h   -00	2023	WYDZIEL  
1704001020	17-04-1-02-3     -i   -00	2023	WYDZIEL  
1704001024	17-04-1-02-3     -k   -00	2023	WYDZIEL  
1704001026	17-04-1-02-3     -l   -00	2023	WYDZIEL  
1704001027	17-04-1-02-4     -    -  	2023	ODDZ     
1704001033	17-04-1-02-4     -b   -00	2023	WYDZIEL  
1704001037	17-04-1-02-4     -c   -00	2023	WYDZIEL  
1704001041	17-04-1-02-4     -f   -00	2023	WYDZIEL  
