site_int_num	arodes_int_num	prot_site_cd	prot_site_state	a_year
893	1704006305	91D0	C	2023
899	1704006389	9170	C	2023
900	1704006391	9170	C	2023
901	1704006393	9170	C	2023
908	1704006421	9170	C	2023
1202	1704006421	9190	C	2023
913	1704006424	9170	C	2023
909	1704006437	91E0	C	2023
910	1704006471	91E0	C	2023
1468	1704006482	9170	C	2023
1287	1704006484	91D0	C	2023
1469	1704006488	9170	C	2023
916	1704006494	9170	B	2023
917	1704006496	91E0	B	2023
920	1704006524	91D0	C	2023
921	1704006529	91D0	C	2023
1289	1704006541	91D0	C	2023
923	1704006572	9170	C	2023
926	1704006598	9170	C	2023
927	1704006602	91D0	C	2023
928	1704006607	91D0	C	2023
929	1704006611	91D0	C	2023
930	1704006613	91D0	C	2023
948	1704006623	91D0	C	2023
932	1704006633	91D0	C	2023
1290	1704006646	91D0	C	2023
1470	1704006658	9170	C	2023
935	1704006660	91E0	C	2023
936	1704006724	7140	C	2023
991	1704006792	9170	C	2023
992	1704006802	9170	C	2023
1291	1704006822	9170	C	2023
994	1704006830	9170	C	2023
995	1704006832	9170	C	2023
996	1704006834	9170	B	2023
997	1704006845	9170	C	2023
998	1704006849	9170	C	2023
999	1704006867	91F0	C	2023
1003	1704006957	9170	C	2023
1004	1704006961	9170	C	2023
1007	1704006980	91E0	C	2023
1008	1704006984	91E0	C	2023
1005	1704006998	9170	C	2023
1006	1704007002	9170	C	2023
1009	1704007015	91E0	A	2023
1011	1704007021	9170	B	2023
1013	1704007027	9170	B	2023
1014	1704007029	9170	C	2023
1015	1704007032	9170	B	2023
1016	1704007038	9170	C	2023
1017	1704007046	9170	B	2023
1222	1704007050	9170	B	2023
1019	1704007052	9170	B	2023
1021	1704007057	91E0	C	2023
1024	1704007061	91E0	C	2023
1025	1704007063	9170	C	2023
1350	1704007066	9170	C	2023
1027	1704007070	9190	C	2023
1030	1704007077	9170	C	2023
1031	1704007085	9170	C	2023
1475	1704007087	9170	C	2023
1033	1704007092	9170	B	2023
1034	1704007094	91E0	C	2023
1035	1704007096	91E0	C	2023
1036	1704007099	91E0	C	2023
1040	1704007107	9170	C	2023
1064	1704007112	9170	C	2023
1041	1704007114	9170	B	2023
1476	1704007116	9170	C	2023
1043	1704007121	9170	B	2023
1044	1704007123	9170	C	2023
1045	1704007125	9170	B	2023
