arodes_int_num	a_year	density_cd	mixture_cd	standdensity_index	tree_stock_cd	st_rank_order_act	storey_cd
1704000139	2023			0.6		2	PODSZ   
1704000141	2023	PRZ 	DKĘP	0.8	PRZ UM 	1	DRZEW   
1704000141	2023			0.6		2	PODSZ   
1704000145	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000145	2023			0.7		2	PODSZ   
1704000153	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000153	2023			0.5		2	PODSZ   
1704000157	2023	PRZ 		0.8	PRZ UM 	1	DRZEW   
1704000157	2023			0.6		2	PODSZ   
1704000284	2023	PRZ 		0.7	PRZ UM 	1	DRZEW   
1704000284	2023			0.7		2	PODSZ   
1704000286	2023	PRZ 	KĘP 	0.7	PRZ UM 	1	DRZEW   
1704000286	2023			0.8		2	PODSZ   
1704000288	2023	PRZ 	GRP 	0.6	PRZ UM 	1	DRZEW   
1704000288	2023			0.7		2	PODSZ   
1704000293	2023					3	PRZES   
1704000293	2023			0.6		2	PODSZ   
1704000293	2023	PEŁ 	KĘP 	0.9	DUŻE   	1	DRZEW   
1704000297	2023	UM  	GRP 	0.9	UM DUŻE	1	DRZEW   
1704000297	2023			0.9		2	PODSZ   
1704000299	2023	UM  	DKĘP	1.0	UM PRZ 	1	DRZEW   
1704000299	2023			0.4		2	PODSZ   
1704000299	2023					3	PRZES   
1704000301	2023			0.9		2	PODSZ   
1704000301	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000303	2023	UM  	DKĘP	0.7	UM PRZ 	1	DRZEW   
1704000303	2023			0.8		2	PODSZ   
1704000305	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000305	2023			0.9		2	PODSZ   
1704000307	2023	UM  	GRP 	1.0	UM DUŻE	1	DRZEW   
1704000307	2023			0.9		2	PODSZ   
1704000312	2023	UM  	GRP 	0.3	UM PRZ 	1	DRZEW   
1704000312	2023			0.3		2	PODR    
1704000312	2023			0.6		3	PODSZ   
1704000315	2023	PEŁ 	KĘP 	0.8	DUŻE   	1	DRZEW   
1704000315	2023			0.6		2	PODSZ   
1704000317	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000317	2023			0.8		2	PODSZ   
1704000319	2023	UM  	GRP 	0.5	UM PRZ 	1	DRZEW   
1704000319	2023			0.7		2	PODSZ   
1704000321	2023	PRZ 	DKĘP	0.7	PRZ UM 	1	DRZEW   
1704000321	2023			0.7		2	PODSZ   
1704000323	2023	UM  	GRP 	0.9	UM DUŻE	1	DRZEW   
1704000323	2023			0.5		2	PODSZ   
1704000574	2023	UM  	KĘP 	0.9	UM PRZ 	1	DRZEW   
1704000574	2023			0.6		2	PODSZ   
1704000576	2023	PRZ 	GRP 	0.3	PRZ UM 	1	DRZEW   
1704000576	2023			0.3		2	PODR    
1704000576	2023			0.3		3	PODS    
1704000576	2023			0.4		4	PODSZ   
1704000578	2023	PEŁ 	DKĘP	0.9	DUŻE   	1	DRZEW   
1704000578	2023			0.5		2	PODSZ   
1704000578	2023					3	PRZES   
1704000584	2023	UM  	GRP 	0.4	UM PRZ 	1	DRZEW   
1704000584	2023			0.3		2	PODR    
1704000584	2023			0.2		3	PODS    
1704000584	2023			0.6		4	PODSZ   
1704000586	2023			0.3		1	PODSZ   
1704000586	2023					2	PRZES   
1704000593	2023	PRZ 	KĘP 	0.8	PRZ UM 	1	DRZEW   
1704000593	2023			0.5		2	PODSZ   
1704000595	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000595	2023			0.8		2	PODSZ   
1704000597	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000597	2023			0.7		2	PODSZ   
1704000599	2023	PRZ 		0.6	PRZ LUŹ	1	IP      
1704000599	2023	PRZ 	GRP 	0.3	PRZ LUŹ	2	IIP     
1704000599	2023			0.4		3	PODSZ   
1704000603	2023	PRZ 		0.4	PRZ UM 	1	IP      
1704000603	2023	PRZ 		0.1	PRZ UM 	2	IIP     
1704000603	2023			0.5		3	PODR    
1704000603	2023			0.5		4	PODSZ   
1704000605	2023	UM  		0.9	UM DUŻE	1	DRZEW   
1704000605	2023			1.0		2	PODSZ   
1704000608	2023	UM  	DKĘP	0.9	UM PRZ 	1	DRZEW   
1704000608	2023					2	PRZES   
1704000631	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000631	2023			0.7		2	PODSZ   
1704000631	2023					3	PRZES   
1704000420	2023			0.5		2	PODSZ   
1704000426	2023	PRZ 	DKĘP	0.7	PRZ UM 	1	DRZEW   
1704000426	2023			0.8		2	PODSZ   
1704000428	2023	PRZ 	GRP 	0.6	PRZ UM 	1	DRZEW   
1704000428	2023			0.7		2	PODSZ   
1704000430	2023	PRZ 		0.6	PRZ UM 	1	DRZEW   
1704000430	2023			0.9		2	PODSZ   
1704000432	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000432	2023			0.7		2	PODSZ   
1704000438	2023	PEŁ 		1.4	DUŻE   	1	DRZEW   
1704000438	2023			0.1		2	PODSZ   
1704000637	2023					3	PRZES   
1704000637	2023	UM  	DKĘP	0.9	UM DUŻE	1	DRZEW   
1704000637	2023			0.7		2	PODSZ   
1704000063	2023			0.7		2	PODSZ   
1704000068	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000639	2023			0.6		2	PODSZ   
1704000639	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000068	2023			0.6		2	PODSZ   
1704000070	2023	PRZ 	GRP 	0.9	PRZ UM 	1	DRZEW   
1704000641	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000641	2023			0.6		2	PODSZ   
1704000643	2023	PRZ 		0.9	PRZ UM 	1	DRZEW   
1704000643	2023			0.6		2	PODSZ   
1704000070	2023			0.7		2	PODSZ   
1704000645	2023	PRZ 	GRP 	0.9	PRZ UM 	1	DRZEW   
1704000645	2023			0.6		2	PODSZ   
1704000648	2023	PRZ 	GRP 	0.6	PRZ UM 	1	DRZEW   
1704000648	2023			0.3		2	PODR    
1704000648	2023			0.7		3	PODSZ   
1704000654	2023			0.7		2	PODSZ   
1704000654	2023	PRZ 		0.8	PRZ UM 	1	DRZEW   
1704000658	2023	PRZ 		0.7	PRZ UM 	1	DRZEW   
1704000658	2023			0.3		2	PODS    
1704000658	2023			0.7		3	PODSZ   
1704000072	2023	PRZ 		0.8	PRZ UM 	1	DRZEW   
1704000662	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000662	2023			0.7		2	PODSZ   
1704000072	2023			0.3		2	PODR    
1704000072	2023			0.7		3	PODSZ   
1704000074	2023	PRZ 	DKĘP	0.8	PRZ UM 	1	DRZEW   
1704000665	2023	PRZ 	GRP 	0.8	PRZ UM 	1	DRZEW   
1704000665	2023			0.6		2	PODSZ   
1704000731	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000731	2023			0.3		2	PODR    
1704000731	2023			0.6		3	PODSZ   
1704000667	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000667	2023			0.6		2	PODSZ   
1704000074	2023			0.7		2	PODSZ   
1704000669	2023			0.7		2	PODSZ   
1704000669	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000738	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000738	2023			0.2		2	PODR    
1704000738	2023			0.4		3	PODSZ   
1704000742	2023	UM  	DKĘP	0.9	UM PRZ 	1	DRZEW   
1704000671	2023	PRZ 	GRP 	0.8	PRZ UM 	1	DRZEW   
1704000671	2023			0.7		2	PODSZ   
1704000076	2023	UM  	KĘP 	1.3	UM DUŻE	1	DRZEW   
1704000673	2023			0.8		2	PODSZ   
1704000673	2023	PRZ 	DKĘP	0.7	PRZ UM 	1	DRZEW   
1704000742	2023			0.6		2	PODSZ   
1704000751	2023	UM  	GRP 	0.4	UM PRZ 	1	DRZEW   
1704000751	2023			0.3		2	PODR    
1704000751	2023			0.3		3	PODS    
1704000751	2023			0.6		4	PODSZ   
1704000675	2023	PRZ 		0.9	PRZ UM 	1	DRZEW   
1704000675	2023			0.7		2	PODSZ   
1704000488	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000488	2023			0.7		2	PODSZ   
1704000076	2023			0.3		2	PODSZ   
1704000078	2023	PRZ 		0.8	PRZ UM 	1	DRZEW   
1704000490	2023	UM  	GRP 	1.0	UM PRZ 	1	DRZEW   
1704000490	2023			0.9		2	PODSZ   
1704000690	2023	PRZ 	GRP 	0.4	PRZ UM 	1	DRZEW   
1704000690	2023			0.3		2	PODR    
1704000690	2023			0.3		3	PODS    
1704000690	2023			0.6		4	PODSZ   
1704000444	2023	UM  	KĘP 	0.7	UM PRZ 	1	DRZEW   
1704000444	2023			0.9		2	PODSZ   
1704000492	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000492	2023			0.8		2	PODSZ   
1704000693	2023	PEŁ 	DKĘP	1.0	DUŻE   	1	DRZEW   
1704000693	2023			0.3		2	PODSZ   
1704000693	2023					3	PRZES   
1704000447	2023	UM  	KĘP 	0.9	UM PRZ 	1	DRZEW   
1704000447	2023			0.5		2	PODR    
1704000447	2023			0.4		3	PODSZ   
1704000494	2023			0.3		2	PODSZ   
1704000494	2023					3	PRZES   
1704000494	2023	PEŁ 	KĘP 	1.1	DUŻE   	1	DRZEW   
1704000697	2023			0.8		2	PODSZ   
1704000697	2023	UM  	GRP 	0.9	UM PRZ 	1	DRZEW   
1704000449	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000449	2023			0.8		2	PODSZ   
